user,text,date,helpful,source,year,wc,vader,sent,Login / OTP / Authentication,Bill Payment Flow,Web Redirect / Not Native,Rewards / MR Points,Offers / Amex Offers,Statement / Transactions / Balance,App Stability (crash/bug/slow),UI / UX / Design,Customer Service / Support,Card Controls / Servicing,Update / Version Regression,Notifications / Alerts,Onboarding / Registration / KYC,Feature Gaps vs Global App,Fees / Charges / Annual Fee
Gaurav Jain,"Feel pretty cheated by Amex. Spent a lot on their card to get decent reward balance. While trying to book flight no option to use points. Customer care said you cannot use points directly, you have to put a request and will get voucher within 3 days. That's a pathetic TAT, and for utilising my reward points for which I have spent money n paid annual charges on Platinum Travel. Basically just ways to cheat, such a big credit card company not allowing us to use the rewards they advertise so much",2020-10-20,17,relevance,2020,92,0.7351,positive,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
Purushotham M,"Lot of improvemenys required. For ex. 1. Make payment must be seamless with option of UPI or Netbanking. Now it takes you a webpage and asked for login again. 2. Rewards multiplier..even though I logged in on App, after clicking, takes to again a webpage and ask to punch the card number. People don't cary card always in their pockets. 3. Bharat pay doesnt work. There is no WoW exp. with this app. Just for viewing for balance its okay.",2021-08-03,17,relevance,2021,80,0.2091,neutral,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False
JK,Payment is very difficult. U need to fill all the details of card every time. For reward multiplier u need to again enter card details. Y should we have to enroll for these things everytime. Just enable it by default for everyone or atleast give that feature in the app which is directly linked to the card and can be enabled easily,2021-08-29,16,relevance,2021,62,0.5118,positive,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
Chandrashekar Anandan,"Never seen this type of bank in my life. In new state found an charge of Rs:500 for late payment. But payment was made 4days before the due date. When checked with support team they say I have paid 0.68paise less in previous payment. Don't know what to say.looks like this is not bank, feel like an money collecting machine for wrong reason. This how bank is running business. Also makes false promises while purchasing the card.",2021-04-22,16,relevance,2021,77,0.5244,positive,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
A Google user,"The app is good to manage the credit card bought from AMEX. It does have the fingerprint feature which will allow you to login securely and easily. But, it needs improvement such as updation of the payment of due immediately.",2019-12-26,16,relevance,2019,40,0.8625,positive,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Pratik N Pattewar,"The app is very good. Easy interface, updated transactions. Most of the services/ options are available on the app itself. Reward points, encashment, service, tap to pay limit, etc. Even new card activation can be done via the app itself. There is 1 shortcoming in the app, nothing to show the card details like card number, expiry, cvv, which is available on other banks app like icici, citi, axis. Thank you.",2024-08-14,16,relevance,2024,71,0.9475,positive,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
A Google user,"No option to see Total Credit Limit, Used Credit Limit on the mobile app landing page. Why don't you provide the 3 options togather on the app landing page: Total Credit Limit Used Credit Limit Available Credit Limit. These things will help the customers to get to know at a single glance. Other Bankers are providing the best features... But you guys are not having good programmer with you?? Or you guys are tired of doing this?? You better try to use the other banking apps. You will get to know.",2019-11-25,15,relevance,2019,91,0.7902,positive,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Nilaksh Mehra,"No wonder amex is the top rated card co. In the world. Amazing services, amazing customer care, amazing rewards redemption options, amazing collaborations and perks & app too is simple and user friendly. I believe only thing amex lacks is that it is not accepted at small merchants. I believe if amex should charge a lesser MDR(merchant discount rate) from small retailers and pay 1/2 rewards or 1/3 rewards than normal to cardholders . Still amex is the best!",2020-11-22,15,relevance,2020,79,0.987,positive,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True
Vishal Patil,"Hello, Most of the time when trying to go inside ""Transaction Security Settings"" it takes too much time and many times logout happens and unable to change the limit or usages settings of the card. This is very much important option for security from the fraudulent transactions and that is not working perfectly. So zero rating from me.",2024-09-07,15,relevance,2024,58,-0.1753,negative,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Vikrant Sharma,Decent app. Lacks payment feature. It would have been best if make payment option directly opened in app itself and provided and easy to go payment option within app itself. Navigating outside app to browser and re entering card number and other details is too redundant and obsolete.,2021-06-01,14,relevance,2021,48,0.7351,positive,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
A Google user,"It was frustrating a lot while adding Amex credit card in phonepe application. The safekey of AMEX is not progressing either through push notification or OTP. It is not throwing option to enter OTP after it is received. In another instance, while trying to Swipe AMEX credit card in POS, it is taking longer time and timing out.",2020-03-19,14,relevance,2020,58,0.3182,neutral,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Ritesh Singh,"It's a brand and services are very good, but still it is not accepted widely across all the merchants due to high transaction fees. Amex needs to lower the fees so that all the merchants accept this card. I guess Amex is listening to customers feedback.",2021-02-13,14,relevance,2021,46,0.1219,neutral,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Prasad Ponkshe,"The app currently lacks some basic but essential features that affect usability. When trying to pay credit card bills, it redirects to a web page where I’m required to log in again—this extra step is unnecessary and frustrating. Additionally, the app does not display the total outstanding amount on the payment page, and it requires manual entry of the credit card number every time. This defeats the purpose of having a convenient mobile app",2025-06-23,14,relevance,2025,74,0.7432,positive,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
S R,Amex cc is nice but only issue is the acceptance of the card. Most of the places/swipe machines the card wont work/not accepted by merchant.,2021-03-26,14,relevance,2021,25,0.5689,positive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
